[Trial 1] Config: {'learning_rate': np.float64(3.1362095414272514e-05), 'weight_decay': np.float64(0.0008573825043178673), 'adam_beta1': 0.8826897711620908, 'adam_beta2': 0.9889206892444629, 'warmup_steps': 381, 'train_batch': 9}
[Trial 1] Config: {'learning_rate': np.float64(3.1362095414272514e-05), 'weight_decay': np.float64(0.0008573825043178673), 'adam_beta1': 0.8826897711620908, 'adam_beta2': 0.9889206892444629, 'warmup_steps': 381, 'train_batch': 9}
[Trial 2] Config: {'learning_rate': np.float64(1.717157357393133e-05), 'weight_decay': np.float64(0.00044110517829366316), 'adam_beta1': 0.950019006424605, 'adam_beta2': 0.9934375640300678, 'warmup_steps': 217, 'train_batch': 23}
[Trial 2] Config: {'learning_rate': np.float64(1.717157357393133e-05), 'weight_decay': np.float64(0.00044110517829366316), 'adam_beta1': 0.950019006424605, 'adam_beta2': 0.9934375640300678, 'warmup_steps': 217, 'train_batch': 23}
[Trial 3] Config: {'learning_rate': np.float64(9.400893749784064e-05), 'weight_decay': np.float64(1.6976319618666757e-05), 'adam_beta1': 0.8909346880927448, 'adam_beta2': 0.9729047302236287, 'warmup_steps': 184, 'train_batch': 12}
[Trial 3] Config: {'learning_rate': np.float64(9.400893749784064e-05), 'weight_decay': np.float64(1.6976319618666757e-05), 'adam_beta1': 0.8909346880927448, 'adam_beta2': 0.9729047302236287, 'warmup_steps': 184, 'train_batch': 12}
[Trial 4] Config: {'learning_rate': np.float64(1.7913431120517766e-06), 'weight_decay': np.float64(2.3449182339843415e-05), 'adam_beta1': 0.8741878528830519, 'adam_beta2': 0.9755252398119509, 'warmup_steps': 452, 'train_batch': 25}
[Trial 4] Config: {'learning_rate': np.float64(1.7913431120517766e-06), 'weight_decay': np.float64(2.3449182339843415e-05), 'adam_beta1': 0.8741878528830519, 'adam_beta2': 0.9755252398119509, 'warmup_steps': 452, 'train_batch': 25}
[Trial 5] Config: {'learning_rate': np.float64(2.6384879310514558e-05), 'weight_decay': np.float64(0.0007437559728369225), 'adam_beta1': 0.9101649655006333, 'adam_beta2': 0.9842183319783454, 'warmup_steps': 294, 'train_batch': 18}
[Trial 5] Config: {'learning_rate': np.float64(2.6384879310514558e-05), 'weight_decay': np.float64(0.0007437559728369225), 'adam_beta1': 0.9101649655006333, 'adam_beta2': 0.9842183319783454, 'warmup_steps': 294, 'train_batch': 18}
[Trial 6] Config: {'learning_rate': np.float64(1.406371789361785e-06), 'weight_decay': np.float64(0.0001164927673090188), 'adam_beta1': 0.8689579992597632, 'adam_beta2': 0.9983122201991835, 'warmup_steps': 421, 'train_batch': 17}
